dt,time_hr,place,price_actual
1/28/2022,17,germany,260
1/28/2022,18,germany,255.6
1/28/2022,19,germany,222.37
1/28/2022,20,germany,222.74
1/28/2022,21,germany,177.8
1/28/2022,22,germany,148.98
1/28/2022,23,germany,123.36
1/29/2022,0,germany,130.25
1/29/2022,1,germany,115.01
1/29/2022,2,germany,105.64
1/29/2022,3,germany,77.57
1/29/2022,4,germany,43.95
1/29/2022,5,germany,79.07
1/29/2022,6,germany,32.94
1/29/2022,7,germany,85.64
1/29/2022,8,germany,85.18
1/29/2022,9,germany,101.13
1/29/2022,10,germany,88.51
1/29/2022,11,germany,118.32
1/29/2022,12,germany,101.02
1/29/2022,13,germany,85.64
1/29/2022,14,germany,105.59
1/29/2022,15,germany,100.01
1/29/2022,16,germany,108.14
1/29/2022,17,germany,118.75
1/29/2022,18,germany,123.02
1/29/2022,19,germany,101.19
1/29/2022,20,germany,84.47
1/29/2022,21,germany,51.62
1/29/2022,22,germany,88.81
1/29/2022,23,germany,79.63
1/30/2022,0,germany,2.3
1/30/2022,1,germany,4.49
1/30/2022,2,germany,10.08
1/30/2022,3,germany,10.01
1/30/2022,4,germany,10.15
1/30/2022,5,germany,11.37
1/30/2022,6,germany,3.73
1/30/2022,7,germany,9.95
1/30/2022,8,germany,11.09
1/30/2022,9,germany,11.98
1/30/2022,10,germany,11.09
1/30/2022,11,germany,11.78
1/30/2022,12,germany,10
1/30/2022,13,germany,10
1/30/2022,14,germany,11.69
1/30/2022,15,germany,14.04
1/30/2022,16,germany,60.06
1/30/2022,17,germany,171.74
1/30/2022,18,germany,158.07
1/30/2022,19,germany,163.37
1/30/2022,20,germany,157.94
1/30/2022,21,germany,158.13
1/30/2022,22,germany,159.94
1/30/2022,23,germany,144.21
1/31/2022,0,germany,122.16
1/31/2022,1,germany,110.17
1/31/2022,2,germany,105.3
1/31/2022,3,germany,100
1/31/2022,4,germany,100.13
1/31/2022,5,germany,135.4
1/31/2022,6,germany,185.14
1/31/2022,7,germany,240
1/31/2022,8,germany,248.92
1/31/2022,9,germany,251.92
1/31/2022,10,germany,248.08
1/31/2022,11,germany,243.42
1/31/2022,12,germany,238.11
1/31/2022,13,germany,221.52
1/31/2022,14,germany,206.28
1/31/2022,15,germany,191.75
1/31/2022,16,germany,193.54
1/31/2022,17,germany,240.67
1/31/2022,18,germany,253.93
1/31/2022,19,germany,240.4
1/31/2022,20,germany,231.59
1/31/2022,21,germany,212.96
1/31/2022,22,germany,201.96
1/31/2022,23,germany,161.51
2/1/2022,0,germany,160.15
2/1/2022,1,germany,154.54
2/1/2022,2,germany,156.24
2/1/2022,3,germany,155.17
2/1/2022,4,germany,165.13
2/1/2022,5,germany,163.01
2/1/2022,6,germany,206.15
2/1/2022,7,germany,239.17
2/1/2022,8,germany,243.72
2/1/2022,9,germany,213
2/1/2022,10,germany,209.94
2/1/2022,11,germany,172.81
2/1/2022,12,germany,143.7
2/1/2022,13,germany,137.69
2/1/2022,14,germany,130.9
2/1/2022,15,germany,126.42
2/1/2022,16,germany,124.2
2/1/2022,17,germany,127.37
2/1/2022,18,germany,129.95
2/1/2022,19,germany,121.63
2/1/2022,20,germany,101.03
2/1/2022,21,germany,84.66
2/1/2022,22,germany,84.61
2/1/2022,23,germany,54.74
2/2/2022,0,germany,35.54
2/2/2022,1,germany,11.84
2/2/2022,2,germany,10.05
2/2/2022,3,germany,10.36
2/2/2022,4,germany,20.03
2/2/2022,5,germany,67.31
2/2/2022,6,germany,105.03
2/2/2022,7,germany,136.92
2/2/2022,8,germany,150.15
2/2/2022,9,germany,136.14
2/2/2022,10,germany,134.6
2/2/2022,11,germany,135.71
2/2/2022,12,germany,133.1
2/2/2022,13,germany,138.92
2/2/2022,14,germany,155.13
2/2/2022,15,germany,193.09
2/2/2022,16,germany,201.53
